user,date,komentar,reviewCreatedVersion
yulianto noorhidayat,2025-05-18 02:19:43,aplikasinya berat bosque.... saya uninstall aja....,8.7.0
Lathiif Muharram,2025-05-18 02:19:17,"aplikasinya selalu force close, udah cba uninstall dan instal kembali kejadiannya masih tetap sama",8.7.0
Aku Xiaomi,2025-05-18 02:18:29,"lemot aplikasi nya, loading nya terlalu lama, padahal sinyal udh bagus pake wifi Tpi buat buka apk ini lemot nya minta ampun,",8.7.0
iman Arshavin,2025-05-18 02:16:37,aplikasi paling lemot!,8.7.0
Aashiqui 2,2025-05-18 02:15:38,"kecewa aku ,sudah berlangganan dapat harga paket murah..eh taunya harganya dikasi naik lagi.",8.7.0
Rika Lestari,2025-05-18 02:13:10,"cek kuota aja susah,loading nya lamaaaa harus uninstall lalu instal lagi begitu terus , apalgi liat menu menu yg lain ga bisa muter terus",8.7.0
Fikri Firdaus,2025-05-18 02:10:45,"skrg klo buka my telkomsel loading ga msuk2, padahal sinyal bagus bgt, makin kesini makin gak jelas aplikasinya, gabisa di akses",8.7.0
Ndah Satoru,2025-05-18 02:07:40,setiap cek kuota ngeleg mulu asu benerin lah,8.7.0
Syaifudin Yuhri,2025-05-18 02:02:15,"apalah aplikasi g guna tiba tiba paket nya jadi mahal semua, juga pelayanan nya tidak begitu nyaman mending g udah ada aplikasi ini, pokelah",8.7.0
Muhammad Taher,2025-05-18 02:00:25,aku gak bisa menghubungkan akun dana ku ke my Telkomsel untuk pembayaran mohon bantuannya,8.7.0
fariez reynaldi,2025-05-18 01:58:54,"kenapa loading nya lama banget, padahal wifi kenceng",8.7.0
Randi Susanto,2025-05-18 01:40:28,LEMOT,8.7.0
Marianikewa Kewa,2025-05-18 01:38:17,"Mudah diakses,bnyk promo paket&bonus khusus tp skrg susah diupdate",8.7.0
riski aditya0476,2025-05-18 01:28:38,pelayanan lelet saya beli paket internet tapi pas udah di beli jadi paket games aja apa gakbisa dibantu,8.7.0
Herawati subki abbas,2025-05-18 01:25:22,"Beli kuota internet, ada gangguan terus",8.7.0
Ijang Mamay Ubaidilah,2025-05-18 01:19:29,"aplikasinya entah apa isinya, berat banget, loadingnya lama, cuma aplikasi ini yang lama loadingnya, padahal sinyal bagus. developer mengarahkan clear cache, force close, tetep aja. diarahkan unduh my telkomsel basic, nanti diarahkan ke mana lagi?",8.7.0
Atep Fitri,2025-05-18 01:15:25,susah login,8.7.0
Daniel Kilimandang,2025-05-18 01:11:53,jaringan lancar dan penawaran paket terbaik🙏,8.7.0
Fikri Yunus,2025-05-18 01:00:28,"Aplikasi nya sering bug, lemot juga mau beli paket aja susah, padahal jaringan pake Telkomsel",8.7.0
Dydaff Spot Channel,2025-05-18 00:56:25,lebih mudah simple dan efisien waktu,8.7.0
Dora Explore,2025-05-18 00:50:49,"terbaik memang,semua yang dibutuhkan sudah ada lengkap pula",8.7.0
Ferdinan Anturi,2025-05-18 00:48:27,telkomsel sekarang semaunya merubah pembelian data Internet karna sering beli data Internet tersebut mereka gampang merubah biar kita bisa beli data yg lebih mahal dari biasa kita beli ..pengguna telkomsel kecewa terhadap telkomsel,8.7.0
nanda arthamevia,2025-05-18 00:37:02,Habis di uprade malah makin lemot😭 bener bener gajelas,8.7.0
muhammad ilham firdaus,2025-05-18 00:19:03,"ini aplikasi kenapa busuk banget dah , muter muter Mulu , se busuk apa si server Telkomsel sampe harus berat bngt di buka ? gua mau isi kuota loh, di update udah versi ter update masih ajah terus melalui seluler mau isi kuota juga sama sevrer sedang sibuk Mulu busuk banget emang Telkomsel lama lama",8.7.0
Nababan 1993,2025-05-18 00:06:55,Sangat buruk. Log in selalu gangguan.,8.7.0
Aprian Re Sahadi,2025-05-18 00:01:35,"tidak simpel, kebanyakan fitur. aplikasi jadi berat dan lemot",8.7.0
Muhammad Fajar,2025-05-17 23:58:03,"ini apk berat banget sumpah, mau liat sisa kuota aja lamanya minta ampun",8.7.0
arul rasta,2025-05-17 23:53:46,tambah ribet kebanyakan iklan menu nya,8.7.0
Hp OppoA95,2025-05-17 23:45:27,parah lemot baget,8.7.0
Indra Nunumete,2025-05-17 23:43:14,Error Melulu Loading di Aplikasi,8.7.0
olengart racing design,2025-05-17 23:41:40,aplikasi lemot,8.7.0
Hamled Yones,2025-05-17 23:40:26,Is the best 🔥🔥,8.7.0
EKO CHANNEL,2025-05-17 23:36:52,TAMBAH MAHAL SEMUANYA,8.7.0
Irfan Maulana,2025-05-17 23:35:39,"biasanya saya pake paket bonus yg bisa di claim tiap bulan, dan pasti paket bonus akan diprioritaskan untuk dihabiskan terlebih dahulu karena memang dari sistemnya begitu, tapi saya baru saja melakukan hal yg sama ternyata yg berkurang terlebih dahulu adalah paket utama, malahan paket bonus 12GB 1 hari nya ga berkurang, ini lagi nge bug atau gimana ya??!!! kecewa banget dengan sistemnya labil",8.7.0
Muhammad Mushlih,2025-05-17 23:33:22,sy memiliki 2 akun klw mau change susah suka egk respon... aplikasi jg ribet membingungkan... cape lah fuul x pop up,8.7.0
Acoustic Rantan,2025-05-17 23:27:03,"saat pembelian paket yang harusnya masa aktif 28 hari malah jadinya hanya 26 hari, trus 2 harinya kemana? 🤔 saat pembelian di lakukan tgl 18 bulan mei, masa aktif hanya sampai tgl 14 juni, padahal ada deskripsi tertulis masa aktif paket 28 hari. ini sangat merugikan.",8.7.0
Pengguna Google,2025-05-17 23:23:07,"Ada apa dengan Aps llMyTelkomsel ini ? Error terus, mau login sulit verifikasi nomor, sms verifikasi juga tidak muncul. Apakah sedang ada perbaikan aps ? Tolonglah aps jangan sering keluar sendiri dari akun 😌",8.7.0
moch ardyan pratama,2025-05-17 23:17:56,lemot,8.7.0
Mey serli,2025-05-17 23:04:37,"god job bnyk diskon"" nya smoga lbih bnyk. lgi diskon harganya minn🙏",8.7.0
Eko Soesilo,2025-05-17 23:04:25,"parah ni aplikasi, pulsa dan paket data masih ad padahal udah habis klo d cek d *888# Tolong d perbaiki lagi",8.7.0
Andi waykanan,2025-05-17 22:52:01,sangat baik,8.7.0
Dhea natalia Putri,2025-05-17 22:47:34,"Ga guna njir pulsa sering kesedot padahal ga ngutang aneh bgt, tiap ingisi pulsa di apk ny ga masuk, sering ngelag sendiri klo saran gw ya gausah terlalu banyak bikin yg baru perbaikin dlu akun nya smpe bisa bener"" di pake baru bikin ai lah ini lah itu lah kayak ngikutin gengsi sesama apk paket data malu deh apk ny ga guna gini 🤭",8.7.0
Aqsha Tato,2025-05-17 22:47:15,terimakasih Telkomsel ... paket peromo nya bagus bagus ... semoga semakin sukses,8.7.0
safri appy,2025-05-17 22:28:46,Sumpah lemot nya luar biasa,8.7.0
Rudi Candrakirana,2025-05-17 22:22:40,My telkomsel mohon memekai bahasa indonesia,8.7.0
Dhe Echi,2025-05-17 22:09:19,"my Telkomsel sekarang jadi jelekkk.... gak bisa cek kuota,, bug gak jelas, di aplikasi masih 4 GB tp d cek di operator tinggal 100mb... tolonglah di perbaiki lagi aplikasinya",8.7.0
oka masino,2025-05-17 22:08:20,bagus tapi ngeleg Mulu,8.7.0
Raka Aja,2025-05-17 21:59:12,mantap lah telkomsel,8.7.0
Muhammad Rezky,2025-05-17 21:54:43,"Woi habis update malah ada notif gk bisa hilang ""status V-nsp kamu aktiv"" aps coba ini mau di hilangkan gk bisa !",8.7.0
Yuli zaky,2025-05-17 21:50:10,susah login.. payah,8.7.0
tono 84,2025-05-17 21:47:36,bagus sangat membatu,8.7.0
Afifatul Ilmiah,2025-05-17 21:42:12,knp skrng lemot yaa kalo cek kuota sisa brp. mohon dioerbaiki yaa min,8.7.0
Dian Hadiansyah,2025-05-17 21:34:49,aplikasi berat banget.. loading lama..padahal sinyal full..sering bug tidak menanggapi... gak nyaman banget pakenya.. 👎👎👎👎👎 tidak mempermudah yang ada bikin emosi..,8.7.0
Mung Tie,2025-05-17 21:29:23,gbs cek,8.7.0
Pammi Rese,2025-05-17 21:28:37,sangat menguntungkan buat saya dan paketnya cukup murah,8.7.0
Arkhan Arfan,2025-05-17 21:18:16,murah,8.7.0
Selawase,2025-05-17 21:10:09,sayangnya ga ada bintang 0 ya apk my Telkomsel ga bisa login dari kemarin sudah masukkan nomor SMS atau WhatsApp belum menerima kode jadi bingung mau cek kuota susah sudah harga paket mahal😡😠,8.7.0
Kristal Putih,2025-05-17 20:01:36,sangat puas,8.7.0
VERONIKA INGAN,2025-05-17 19:45:11,peyedot pulsa telek,8.7.0
Ahzar Ihwahir,2025-05-17 19:41:00,b aja,8.7.0
Zulfi Kharis,2025-05-17 19:39:37,"beli paket jam setengah 12 malam durasi satu hari, ternyata lewat jm 12 uda gak bisa kepakai alias hangus, kirain hitungan 24 jm, semakin gk jelas telkomsel",8.7.0
Andri Juanda,2025-05-17 19:39:02,mwantappp,8.7.0
Abdul Rahman,2025-05-17 19:32:49,Saya punya akun 2 mau ganti ke akun satunya sulit mau masuk. Sya sekarang mau masuk ke akun saya gak bisa bisa,8.7.0
Ahmad nur Faiz,2025-05-17 19:12:35,makin lama makin gak jelas. tiap kali masuk loading terus. gak bisa refres. padahal sudah update otomatis.,8.7.0
Sendiri Lebih enak,2025-05-17 19:10:46,sangat baik untuk lebih cepat akses data. pulsa,8.7.0
Tri muji Hartono,2025-05-17 18:59:54,kuota dikit harga selangit.,8.7.0
Raji Sumahendra,2025-05-17 18:54:57,kenapaa loading!!!!!!???? gak jelas aplikasi nya loading lama jaringan nya kurang mendukung! lebih kenceng jaringan Starlink,8.7.0
Yoseph Agung,2025-05-17 18:54:19,good,8.7.0
Jihana fortuna,2025-05-17 18:36:09,"beli pulsa di my telkomsel saldoku sring ilang pulsanya g masuk"" ksel bgt sring kek gni mana paketnya mahal"" mahal kalo jaringannya lancar mah ga mslh ini udh mahal jaringannya ngelag",8.7.0
Uba Gambo,2025-05-17 18:29:59,saya sangat tertarik dengan my Telkomsel banyak tawaran super hemat,8.7.0
Abdulrahman Siregar,2025-05-17 18:26:03,jaringan ny tolol,8.7.0
BAR BAR,2025-05-17 18:15:37,"bye bye min, aku sudah ganti kartu karena responnya copy paste gak pernah ditanggapi secara serius saya tidak pakai Telkomsel lagi kalo misalkan sinyalnya sudah diperbaiki kalo semua sudah diperbaiki saya akan mencoba kembali entah itu kapan thanks sudah menemani selama 14 tahun saya saya pamit",8.7.0
Gerald Octavian,2025-05-17 18:10:00,udh diupdate mulu makin berat gk makin bagus malah makin banyak bug makin sering error makin lama loadingnya... sayang aja gw ama nomer gw udh hampir 10th kalo gk udh gw ganti provider,8.7.0
Eri Yustina,2025-05-17 18:01:08,"kenapa sekarang ko loading banget sih, setiap kali mau cek kuota harus refresh beberapa kali",8.7.0
Rheynooo Kusumaaa,2025-05-17 17:55:41,harga mahall sinyal kualitas rendah yang bener aja lahh main game jadi nggak nyamann,8.7.0
moy Amoy,2025-05-17 17:55:19,"sangat sangat lemot saat mau buka aplikasi untuk sekedar mengecek sisa quota, hanya loading dan terus loading tanpa terbuka sama sekali, aneh berasa tinggal di gunung sprti g ada sinyal.",8.7.0
Anwar Nasihin,2025-05-17 17:51:33,makin kesini makin jelek ini aplikasi loading lama udah itu gak bisa refres paket padahal sinyal normal ngeselin banget ini makin nyusahin aja mau beli paket juga susah kadang menu paket nya gk muncul malah blenk putih ngeselinn sumpah kalo di tempat gue tersedia jaringan laen mending ganti simcart nya aja,8.7.0
Doni Suyanto,2025-05-17 17:49:50,aplikasi untuk beli kuota saja beratnya melebihi game sebelah.,8.7.0
Pandu Novra Lematang,2025-05-17 17:43:51,aplikasi apaan buat ngecek kuota g bisa,8.7.0
Ramdani Indri chanel,2025-05-17 17:39:34,jaringan telkomsel data internet jelek banget di rumah saya wilayah desa cigendel kecamatan Pamulihan Dusun Pasir Luhur REST AREA CADAS PANGERAN SINYAL DATA TELKOMSELL SUMPAH JELEEK BANGETTT WOYYY DENGERIN DEV..!!!BENERIIIN!!!!!,8.7.0
AB Luv,2025-05-17 17:38:25,"loading lama berasa ngelag banget buka aplikasi ini,mutar terus para ini Telkomsel udah lama loh keluhan seperti ini diabaikan,makin banyak yg ngasih bintang ⭐",8.7.0
Yeremia Arga,2025-05-17 17:37:45,the best internet dan sinyal,8.7.0
Kusmiyati Kusmiyati,2025-05-17 17:34:32,Parah cuy masak iya aktifin paket 1 hari kan 24 jam ini aktifin paket jam 22.10 udah selesai di jam 00.00 ini paket 1 day 24 jam atau paket 2 jam njir ajir maketin di jam 23.50 makenya cuma 10 menit doank banke di ganti lah paket 24 jam,8.7.0
Bang Poncol,2025-05-17 17:28:36,"apk susah di buka ,aneh kenapa loading nya lama sekali ,reloag juga tetep masih loading ,loading nya bikin kesel",8.7.0
Fadli Skumbank,2025-05-17 17:28:35,Kok hadiah stamp berhadiah saya ngak jalan ya bonus paket datanya,8.7.0
BINNツ,2025-05-17 17:12:47,makin mahal adohh tolong lah Telkom turunin harganya amboy,8.7.0
Ahmad Shidiq,2025-05-17 17:12:24,"busuk banget apk nya, lemot mau pindah ke kartu Indosat lagi aja",8.7.0
Naufal N,2025-05-17 17:10:07,ini developernya gimana sih? kok aplikasi berat banget,8.7.0
Jid Dan,2025-05-17 17:09:44,"Lemot, kebanyakan iklan pinjol",8.7.0
Toke Aja,2025-05-17 17:06:08,kaya taik Telkomsel sekarang sinyal nya kaga jelas,8.7.0
BORDAN 57 official,2025-05-17 16:58:23,cek kuota saja parah aplikasi gak guna,8.7.0
Andre Adiwijaya,2025-05-17 16:54:18,sekarang sudah oke banget,8.7.0
M Rahman,2025-05-17 16:49:03,"aplikasi lemot parah,mau cek kouta aja ga pernah bisa",8.7.0
Ninix News,2025-05-17 16:30:27,"ga lebih ga kurang sama aja dgn yg lainnya, malah ini lebih sadis dan muahal 🤣🤣🤣",8.7.0
fatih,2025-05-17 16:16:18,"Makin hari makin ngak jelas mytelkomsel tawarn ini itu kegunaan ngk ada,,fitur terlalu banyak yng ngk bermanfaat,,",8.7.0
Ayub Irawan,2025-05-17 16:10:48,"pop up menyebalkan, dan banyak bug di add on paket vidio",8.7.0
Muhamad Fauzi,2025-05-17 16:09:45,saat ini apakah sedang tdk bisa dibuka kah? sudah beberapa hari tdk bisa dibuka hanya black screen,8.7.0
Jupiter,2025-05-17 16:04:30,lumayan,8.7.0
Ata Kamal,2025-05-17 16:04:16,"Terima Kasih Atas Informasinya, ternyata dengan menghapus cache, aplikasi sudah normal kembali.",8.7.0
Keling Nainggolan,2025-05-17 16:04:09,sangat bagus,8.7.0
rosinta bella h.r,2025-05-17 16:00:22,"apk ga jelas anj, loading lama bangettttt keburu paketan habis. Mau ambil reward juga lamaa. Jaringan kadang tiba² hilang, pliss lahh hapus fitur² ga guna woyyyyy!!!!!!!!!",8.7.0
Bang Iyen,2025-05-17 16:00:07,sangat bagus,8.7.0
Mardian Junaedi,2025-05-17 15:51:23,kartu sultan sinyal sulit,8.7.0
Fauzan Nazar,2025-05-17 15:49:41,"ukuran terlalu berat, jaringan tidak stabil",8.7.0
Sri Utami,2025-05-17 15:47:09,paket pulsanya murah,8.7.0
Sadval Hidayat,2025-05-17 15:27:13,"jelek dari tahun ke tahun, memburuk, selalu buffering, update terus terusan tapi tidak berubah",8.7.0
Aldi Fathurohman,2025-05-17 15:24:33,telkomsel kok akhir2 ini jaringan nya jadi jelek ya?,8.7.0
Hery Firdauz,2025-05-17 15:24:08,"aplikasi sangat berat ketika dibuka, terlalu banyak fitur tak berguna. harga paket data yang dijual terlalu mahal dan kebanyakan khusus 5g sedangkan jaringan 5g belum stabil dan belum merata, sia-sia beli paket namun tidak bisa dipakai",8.7.0
SmokY,2025-05-17 15:23:42,"tiba2 harus login dan saat verifikasi selalu terjadi kesalahan, dan kesalahan nya pun saya gk tau dimana, harga paling tinggi tapi pelayanan paling minus",8.7.0
aditya waelan 87,2025-05-17 15:23:22,okkee,8.7.0
Dwi Handoko,2025-05-17 15:21:17,udah sebulan loading terus ga bisa direfresh,8.7.0
MUSLIMIN,2025-05-17 15:20:31,My Telkomsel ok banget,8.7.0
Muhammad Abdur Rafi Pratama,2025-05-17 15:19:48,"sudh 6 bulanan gk pernah bisa login lagi ke aplikasi,selalu muncul notif terjadi kesalahan,ntah apa salahnay duh"" sudah sering dicoba selalau gagal sampek ada updatean terus tetep aja gk bisa log in,ntah kenapa kamu telkom Terimakasih respon cepatnya,dah bisa dipakai lagi sekarang👍👍👍",8.7.0
wawan rohadi,2025-05-17 15:19:39,"respon cs kurang , paket dah di klaim tapi gk bisa di pakai gimana sih",8.7.0
Dikri Maulana135,2025-05-17 15:17:48,Mantapppp,8.7.0
Ken Aludrah Official,2025-05-17 15:16:22,"di buka cuma muter2 doang berat amat aplikasinya ,,, gmn sih pelayanan kok KY gini",8.7.0
Unggu Doy,2025-05-17 15:15:54,sangat puas,8.7.0
Lian frangky07,2025-05-17 15:14:29,sanggat bagus dan ada juga yg sedikit tidak bagus sih ku kasih bintang 4 ajah dulu de...,8.7.0
Nothing _,2025-05-17 15:10:29,jaringan sampah,8.7.0
Haura Syahla Aula,2025-05-17 15:07:32,APASII LAGG BGT JELEK,8.7.0
Zen Kharis,2025-05-17 15:04:47,berat bgt apk.y,8.7.0
Dede Ogan,2025-05-17 15:02:16,pembaruan terus yg di kejar terlalu bnyak even jadi pas buka apk leg berat padahal jaringan lagi bagus,8.7.0
Bhojis 22,2025-05-17 14:59:09,"makin kesini malah makin buruk, susah kali kalau login, MACET",8.7.0
Gilang Romadhon,2025-05-17 14:57:47,cara bisa login gimana yah.? tapi kartu sudah hilangg?,8.7.0
bima bagus,2025-05-17 14:49:50,"KESAL KALAU MAU BELI KUOTA DI APKNYA SELALU NGELEG GATAU KENAPA!!, PERBAIKI LAH TOLONG",8.7.0
Laurel Leaf,2025-05-17 14:46:55,"aplikasi paling susah yg pernah saya temukan buat pembayaran lewat dana, sgt mengecewakan. gagal kok trs pdhl aplikasi XL 3 sgt mudah.",8.7.0
Sayyid Zulfa Faqihuddin,2025-05-17 14:44:37,sinyal kaya hama gajelas lag parah kecewa sama sinyal telkomsel sekarang,8.7.0
Ridwan Syaifizan,2025-05-17 14:41:09,"apalah sering-sering logout sendiri. mahal doang, tapi punya aplikasi jelek banget.",8.7.0
Just GodZition,2025-05-17 14:40:42,Ni kenapa ya setiap bulan kok harga pulsa nya mahal yg 4GB 30hari 30rb biasanya kan 25rb aneh pulsa dah mahal kualitas sinyalnya kaya aj* mending ganti kartu aja,8.7.0
Ichsan Setiawan,2025-05-17 14:36:15,aplikasi berat,8.7.0
Agus Muhlisin,2025-05-17 14:35:13,cape hate jaringan edan eling parah banget 😇😇😇wayyyyy edannn,8.7.0
Ari Ardiana Sapari,2025-05-17 14:33:59,loadingnya seabad kya berat banget ni apk ... hrehh,8.7.0
Qiung Be,2025-05-17 14:32:46,"aplikasi berat, untuk membuka my Telkomsel harus buka tutup beberapa kali, sinyal kebanyakan tidak stabil, padahal tinggal dekat tower induk Telkomsel, tolong diperbaiki dan tingkatkan pelayanannya dan kualitasnya, jangan buat pelanggan setia jadi selingkuh....",8.7.0
Egi Febriansyah,2025-05-17 14:30:00,"bintangnya saya turunkan karena lemotnya parah saat buka aplikasi, sekedar mau cek kuota / beli paket lama banget padahal sinyal nya bagus",8.7.0
Ruri Akhmad,2025-05-17 14:26:55,bos....kalau buat aplikasi GK bisa dibuka hapus ajalah......apk GK guna.,8.7.0
Ami boh syidom,2025-05-17 14:24:04,jaringan lelet kayak siput🤬🤬,8.7.0
Asep Zenal Mustopa,2025-05-17 14:20:22,Udah beli paket Mahal-mahal Eh jaringan nya jelekkk ngga kayak Operator Sebelah jaringan nya bagus terus,8.7.0
Tongeret Malam,2025-05-17 14:16:20,iya emang payah ni Telkomsel Lemod banget kaya rayak. mo liat pulsa Ama paket aja harus keliling dunia dulu. MB nya sih paling gede lain daripada yg lain. tolong diperbaiki biar ngebut jngn MB nya aja digedein Ampe 150 Han. eh lelet banget bos,8.7.0
Jaka Purnamanuryadin,2025-05-17 14:14:07,"harga paket makin sini makin mahal, walaupun banyak pilihan tetap gak ada yang cocok pada mahal.. udah mahal masa aktif yang di kurangi gak kaya dulu sekarang Telkomsel paket super mahal",8.7.0
Ulviana Meilawati25,2025-05-17 14:11:37,sering keluar apk sendiri tolong perbaiki,8.7.0
Mila As,2025-05-17 14:10:52,bagus,8.7.0
Farell' _,2025-05-17 14:05:06,"Terlalu banyak fitur bikin aplikasi lemot, sarannya kurangi fitur fitur yang jarang orang pakai",8.7.0
Rofiq Majid,2025-05-17 14:01:39,MENANG MAHAL. SOAL SINYAL JELEK.,8.7.0
FATIMAH Msj,2025-05-17 14:00:25,jaringan nya diperbaiki lah gw kalah main ml gara gara jaringan busuk banget,8.7.0
Eric Benjamin,2025-05-17 14:00:23,sangat bagus dan membantu,8.7.0
Rangga Bayu,2025-05-17 13:57:53,oke,8.7.0
zainal Nal,2025-05-17 13:52:44,ga jelas.beli paket 1 bulan yg di dapat malah 1 minggu,8.7.0
Ratu Aurora,2025-05-17 13:51:04,"sinyalnya g stabil ternyata -_- cuma diawal pakai aja cepet dan lancar buat main game,makin lama jump ping nya parah",8.7.0
Herman Kku,2025-05-17 13:49:40,kenapa gak bisa akses beli data,8.7.0
An Hari,2025-05-17 13:48:20,dulu ditempat saya telkom jagonya sekarang ko loding terus ya.....capee,8.7.0
Neny Selang,2025-05-17 13:47:53,"kenapa aplikasi telkomsel sudah tidak sama seperi dulu,dihapus di instal ulang tetap sama saja,butuh berjam2 fitur2nya terlihat jelas,kadang mau beli pulsa susah sekali,tolong dibenahi lagi aplikasinya...",8.7.0
KABAR INDONESIA,2025-05-17 13:47:17,"jaringan Telkomsel di Bekasi timur sangat buruk,main game ML jaringan suka merah,padahal ini dulu jaringannya paling bagus,akhir2 ini malah buruk,maaf hanya kasih bintang 🌟🌟 nanti klau jaringan stabil lagi saya kasih 🌟🌟🌟🌟🌟 makasih",8.7.0
cuit cuit,2025-05-17 13:38:20,kuota mahal sinyal jelek jangan beli ni kartu gak guna beli kartu ini sama aj pemborosan udah sinyal jelek mahal lagi hadeh,8.7.0
Astra Kurniawan,2025-05-17 13:37:01,aplikasi busuk,8.7.0
Anwar Musadad,2025-05-17 13:34:57,kuota belajar makin mahal,8.7.0
Evan Christiano,2025-05-17 13:28:10,Kouta nya mahalllll tiap bln naik terusssssss,8.7.0
Ade Wijaya,2025-05-17 13:27:24,"jelek, buruk, loading kek sampah",8.7.0
Bintang Bintang,2025-05-17 13:25:14,ini apk sampah Telkomsel memang gak berguna..bikin apk tapi apk sampah...ada poin tapi tak berguna ...semua tak berguna...kalo pilih karyawan yang kompeten lah. kru Telkomsel hanya kru sampah..,8.7.0
Muniev Firsttian,2025-05-17 13:24:04,mantap,8.7.0
Dendi Aldira,2025-05-17 13:24:04,oy min perbaiki jaringan nya,8.7.0
Atika Suri,2025-05-17 13:16:07,sudah seminggu saya mau check data tidak bisa,8.7.0
Boday Tatto19,2025-05-17 13:11:27,❤❤❤❤,8.7.0
Larasyl Vani,2025-05-17 13:10:33,"kl mw bl paket hadiah,, loadingnya lamaa",8.7.0
Indra Pratama,2025-05-17 13:10:02,jaringannya internet LOLA DIJAM 6MALAM PARAH 😡😡😡😡😡,8.7.0
Muhammad Barkah,2025-05-17 13:07:30,aplikasi parah... udah bayar mahal mahal selalu lemot saat dibuka. PARAH!!!,8.7.0
Fira Syafira,2025-05-17 13:00:21,min gimana sih min pulsa saya udah kesedot 30 ribu lebih loh padahal saya niatnya beli pulsa 70 ribu itu buat di tukar ke Kouta kenapa malah di sedot banyak banget sih udh tau saya miskin 👎👎👎,8.7.0
Bagus N Prasetyo,2025-05-17 13:00:19,lemot amat nih aplikasi dibuka,8.7.0
Umar Soleh,2025-05-17 12:52:44,"ko sekarang telkomsel jaringannya makin buruk ya?, apa ganti kartu ke tri aja ya",8.7.0
NICO ADRIANO,2025-05-17 12:52:32,bagus berguna banget,8.7.0
